year,data_year,list,rank,company,status,prior_year_closings,prior_year_gross_revenue,prior_year_rank,firm_url
2018,2017,top100,27,The Villages of Lake Sumter,,"2,052",$753,26,https://www.builderonline.com/firms/the-villages-of-lake-sumter
2018,2017,top100,28,DRB Group,,"1,981",$545,31,https://www.builderonline.com/firms/drb-group
2018,2017,top100,29,Clayton Properties Group,,"1,951",$649,55,https://www.builderonline.com/firms/clayton-properties-group
2018,2017,top100,30,Drees Homes,,"1,859",$876,32,https://www.builderonline.com/firms/drees-homes
2018,2017,top100,31,Brookfield Residential Properties,,"1,761","$1,322",29,https://www.builderonline.com/firms/brookfield-residential-properties
2018,2017,top100,32,2018 Gehan Homes,,"1,753",$608,30,https://www.builderonline.com/builder-100-listing/2018-gehan-homes/
2018,2017,top100,33,Mungo Homes,,"1,752",$495,35,https://www.builderonline.com/firms/mungo-homes
2018,2017,top100,34,MHI-McGuyer Homebuilders,,"1,743",$728,36,https://www.builderonline.com/firms/mhi-mcguyer-homebuilders
2018,2017,top100,35,Wade Jurney Homes,,"1,742",$270,43,https://www.builderonline.com/firms/wade-jurney-homes
2018,2017,top100,36,Rausch Coleman Homes,,"1,711",$293,37,https://www.builderonline.com/firms/rausch-coleman-homes
2018,2017,top100,37,Fischer Homes,,"1,624",$522,38,https://www.builderonline.com/firms/fischer-homes
2018,2017,top100,38,True Homes USA,,"1,400",$345,34,https://www.builderonline.com/firms/true-homes-usa
2018,2017,top100,39,Epcon Communities Franchising,,"1,354",$480,45,https://www.builderonline.com/firms/epcon-communities-franchising
2018,2017,top100,40,The Related Group,,"1,350","$1,300",N/A,https://www.builderonline.com/firms/the-related-group
2018,2017,top100,41,New Home Co.,p,"1,310",$899,46,https://www.builderonline.com/firms/new-home-co
2018,2017,top100,42,Bloomfield Homes,,"1,260",$407,50,https://www.builderonline.com/firms/bloomfield-homes
2018,2017,top100,43,Chesmar Homes,,"1,251",$412,42,https://www.builderonline.com/firms/chesmar-homes
2018,2017,top100,44,Eastwood Homes,,"1,232",$336,48,https://www.builderonline.com/firms/eastwood-homes
2018,2017,top100,45,GL Homes,,"1,209",$758,33,https://www.builderonline.com/firms/gl-homes
2018,2017,top100,46,Neal Communities,,"1,183",$453,43,https://www.builderonline.com/firms/neal-communities
2018,2017,top100,47,First Texas Homes,,"1,131",$468,51,https://www.builderonline.com/firms/first-texas-homes
2018,2017,top100,48,Dream Finders Homes,,"1,111",$342,52,https://www.builderonline.com/firms/dream-finders-homes
2018,2017,top100,49,The Kolter Group,,"1,101",$929,N/A,https://www.builderonline.com/firms/kolter-residential
2018,2017,top100,50,Long Lake Ltd.,,"1,096",$241,41,https://www.builderonline.com/firms/long-lake-limited
2018,2017,top100,51,Edge Homes,,"1,080",$293,63,https://www.builderonline.com/firms/edge-homes
2018,2017,top100,52,View Homes,,"1,062",$278,54,https://www.builderonline.com/firms/view-homes
2018,2017,top100,53,CBH Homes,,"1,053",$251,47,https://www.builderonline.com/firms/cbh-homes
2018,2017,top100,54,Smith Douglas Homes,,"1,038",$240,70,https://www.builderonline.com/firms/smith-douglas-homes
2018,2017,top100,55,Arbor Homes,,998,$225,56,https://www.builderonline.com/firms/arbor-homes
2018,2017,top100,56,Green Brick Partners,p,990,$454,58,https://www.builderonline.com/firms/green-brick-partners
2018,2017,top100,57,Stanley Martin Homes,,971,$553,57,https://www.builderonline.com/firms/stanley-martin-homes
2018,2017,top100,58,Castlerock Communities,,966,$269,49,https://www.builderonline.com/firms/castlerock-communities
2018,2017,top100,59,HistoryMaker Homes,,943,$262,60,https://www.builderonline.com/firms/historymaker-homes
2018,2017,top100,60,Ivory Homes,,921,$401,53,https://www.builderonline.com/firms/ivory-homes
2018,2017,top100,61,Betenbough Homes,,918,$170,65,https://www.builderonline.com/firms/betenbough-homes
2018,2017,top100,62,Westport Homes,,843,$203,68,https://www.builderonline.com/firms/westport-homes
2018,2017,top100,63,McBride & Son Cos.,,842,$257,64,https://www.builderonline.com/firms/mcbride-son-cos
2018,2017,top100,64,Ole South Properties,,811,$184,67,https://www.builderonline.com/firms/ole-south-properties
2018,2017,top100,65,Milestone Community Builders,,797,$226,61,https://www.builderonline.com/firms/milestone-community-builders
2018,2017,top100,66,Fulton Homes,,794,$276,82,https://www.builderonline.com/firms/fulton-homes
2018,2017,top100,67,Tralon Homes,,784,$292,71,https://www.builderonline.com/firms/tralon-homes
2018,2017,top100,68,Great Southern Homes,,773,$161,62,https://www.builderonline.com/firms/great-southern-homes
