Date,Serving President,Serving President Party,Elected President,Elected President Party
11/1/1997,William Clinton,Democrat,William Clinton,Democrat
12/1/1997,William Clinton,Democrat,William Clinton,Democrat
1/1/1998,William Clinton,Democrat,William Clinton,Democrat
2/1/1998,William Clinton,Democrat,William Clinton,Democrat
3/1/1998,William Clinton,Democrat,William Clinton,Democrat
4/1/1998,William Clinton,Democrat,William Clinton,Democrat
5/1/1998,William Clinton,Democrat,William Clinton,Democrat
6/1/1998,William Clinton,Democrat,William Clinton,Democrat
7/1/1998,William Clinton,Democrat,William Clinton,Democrat
8/1/1998,William Clinton,Democrat,William Clinton,Democrat
9/1/1998,William Clinton,Democrat,William Clinton,Democrat
10/1/1998,William Clinton,Democrat,William Clinton,Democrat
11/1/1998,William Clinton,Democrat,William Clinton,Democrat
12/1/1998,William Clinton,Democrat,William Clinton,Democrat
1/1/1999,William Clinton,Democrat,William Clinton,Democrat
2/1/1999,William Clinton,Democrat,William Clinton,Democrat
3/1/1999,William Clinton,Democrat,William Clinton,Democrat
4/1/1999,William Clinton,Democrat,William Clinton,Democrat
5/1/1999,William Clinton,Democrat,William Clinton,Democrat
6/1/1999,William Clinton,Democrat,William Clinton,Democrat
7/1/1999,William Clinton,Democrat,William Clinton,Democrat
8/1/1999,William Clinton,Democrat,William Clinton,Democrat
9/1/1999,William Clinton,Democrat,William Clinton,Democrat
10/1/1999,William Clinton,Democrat,William Clinton,Democrat
11/1/1999,William Clinton,Democrat,William Clinton,Democrat
12/1/1999,William Clinton,Democrat,William Clinton,Democrat
1/1/2000,William Clinton,Democrat,William Clinton,Democrat
2/1/2000,William Clinton,Democrat,William Clinton,Democrat
3/1/2000,William Clinton,Democrat,William Clinton,Democrat
4/1/2000,William Clinton,Democrat,William Clinton,Democrat
5/1/2000,William Clinton,Democrat,William Clinton,Democrat
6/1/2000,William Clinton,Democrat,William Clinton,Democrat
7/1/2000,William Clinton,Democrat,William Clinton,Democrat
8/1/2000,William Clinton,Democrat,William Clinton,Democrat
9/1/2000,William Clinton,Democrat,William Clinton,Democrat
10/1/2000,William Clinton,Democrat,William Clinton,Democrat
11/1/2000,William Clinton,Democrat,George W. Bush,Republican
12/1/2000,William Clinton,Democrat,George W. Bush,Republican
1/1/2001,George W. Bush,Republican,George W. Bush,Republican
2/1/2001,George W. Bush,Republican,George W. Bush,Republican
3/1/2001,George W. Bush,Republican,George W. Bush,Republican
4/1/2001,George W. Bush,Republican,George W. Bush,Republican
5/1/2001,George W. Bush,Republican,George W. Bush,Republican
6/1/2001,George W. Bush,Republican,George W. Bush,Republican
7/1/2001,George W. Bush,Republican,George W. Bush,Republican
8/1/2001,George W. Bush,Republican,George W. Bush,Republican
9/1/2001,George W. Bush,Republican,George W. Bush,Republican
10/1/2001,George W. Bush,Republican,George W. Bush,Republican
11/1/2001,George W. Bush,Republican,George W. Bush,Republican
12/1/2001,George W. Bush,Republican,George W. Bush,Republican
1/1/2002,George W. Bush,Republican,George W. Bush,Republican
2/1/2002,George W. Bush,Republican,George W. Bush,Republican
3/1/2002,George W. Bush,Republican,George W. Bush,Republican
4/1/2002,George W. Bush,Republican,George W. Bush,Republican
5/1/2002,George W. Bush,Republican,George W. Bush,Republican
6/1/2002,George W. Bush,Republican,George W. Bush,Republican
7/1/2002,George W. Bush,Republican,George W. Bush,Republican
8/1/2002,George W. Bush,Republican,George W. Bush,Republican
9/1/2002,George W. Bush,Republican,George W. Bush,Republican
10/1/2002,George W. Bush,Republican,George W. Bush,Republican
11/1/2002,George W. Bush,Republican,George W. Bush,Republican
12/1/2002,George W. Bush,Republican,George W. Bush,Republican
1/1/2003,George W. Bush,Republican,George W. Bush,Republican
2/1/2003,George W. Bush,Republican,George W. Bush,Republican
3/1/2003,George W. Bush,Republican,George W. Bush,Republican
4/1/2003,George W. Bush,Republican,George W. Bush,Republican
5/1/2003,George W. Bush,Republican,George W. Bush,Republican
6/1/2003,George W. Bush,Republican,George W. Bush,Republican
7/1/2003,George W. Bush,Republican,George W. Bush,Republican
8/1/2003,George W. Bush,Republican,George W. Bush,Republican
9/1/2003,George W. Bush,Republican,George W. Bush,Republican
10/1/2003,George W. Bush,Republican,George W. Bush,Republican
11/1/2003,George W. Bush,Republican,George W. Bush,Republican
12/1/2003,George W. Bush,Republican,George W. Bush,Republican
1/1/2004,George W. Bush,Republican,George W. Bush,Republican
2/1/2004,George W. Bush,Republican,George W. Bush,Republican
3/1/2004,George W. Bush,Republican,George W. Bush,Republican
4/1/2004,George W. Bush,Republican,George W. Bush,Republican
5/1/2004,George W. Bush,Republican,George W. Bush,Republican
6/1/2004,George W. Bush,Republican,George W. Bush,Republican
7/1/2004,George W. Bush,Republican,George W. Bush,Republican
8/1/2004,George W. Bush,Republican,George W. Bush,Republican
9/1/2004,George W. Bush,Republican,George W. Bush,Republican
10/1/2004,George W. Bush,Republican,George W. Bush,Republican
11/1/2004,George W. Bush,Republican,George W. Bush,Republican
12/1/2004,George W. Bush,Republican,George W. Bush,Republican
1/1/2005,George W. Bush,Republican,George W. Bush,Republican
2/1/2005,George W. Bush,Republican,George W. Bush,Republican
3/1/2005,George W. Bush,Republican,George W. Bush,Republican
4/1/2005,George W. Bush,Republican,George W. Bush,Republican
5/1/2005,George W. Bush,Republican,George W. Bush,Republican
6/1/2005,George W. Bush,Republican,George W. Bush,Republican
7/1/2005,George W. Bush,Republican,George W. Bush,Republican
8/1/2005,George W. Bush,Republican,George W. Bush,Republican
9/1/2005,George W. Bush,Republican,George W. Bush,Republican
10/1/2005,George W. Bush,Republican,George W. Bush,Republican
11/1/2005,George W. Bush,Republican,George W. Bush,Republican
12/1/2005,George W. Bush,Republican,George W. Bush,Republican
1/1/2006,George W. Bush,Republican,George W. Bush,Republican
2/1/2006,George W. Bush,Republican,George W. Bush,Republican
3/1/2006,George W. Bush,Republican,George W. Bush,Republican
4/1/2006,George W. Bush,Republican,George W. Bush,Republican
5/1/2006,George W. Bush,Republican,George W. Bush,Republican
6/1/2006,George W. Bush,Republican,George W. Bush,Republican
7/1/2006,George W. Bush,Republican,George W. Bush,Republican
8/1/2006,George W. Bush,Republican,George W. Bush,Republican
9/1/2006,George W. Bush,Republican,George W. Bush,Republican
10/1/2006,George W. Bush,Republican,George W. Bush,Republican
11/1/2006,George W. Bush,Republican,George W. Bush,Republican
12/1/2006,George W. Bush,Republican,George W. Bush,Republican
1/1/2007,George W. Bush,Republican,George W. Bush,Republican
2/1/2007,George W. Bush,Republican,George W. Bush,Republican
3/1/2007,George W. Bush,Republican,George W. Bush,Republican
4/1/2007,George W. Bush,Republican,George W. Bush,Republican
5/1/2007,George W. Bush,Republican,George W. Bush,Republican
6/1/2007,George W. Bush,Republican,George W. Bush,Republican
7/1/2007,George W. Bush,Republican,George W. Bush,Republican
8/1/2007,George W. Bush,Republican,George W. Bush,Republican
9/1/2007,George W. Bush,Republican,George W. Bush,Republican
10/1/2007,George W. Bush,Republican,George W. Bush,Republican
11/1/2007,George W. Bush,Republican,George W. Bush,Republican
12/1/2007,George W. Bush,Republican,George W. Bush,Republican
1/1/2008,George W. Bush,Republican,George W. Bush,Republican
2/1/2008,George W. Bush,Republican,George W. Bush,Republican
3/1/2008,George W. Bush,Republican,George W. Bush,Republican
4/1/2008,George W. Bush,Republican,George W. Bush,Republican
5/1/2008,George W. Bush,Republican,George W. Bush,Republican
6/1/2008,George W. Bush,Republican,George W. Bush,Republican
7/1/2008,George W. Bush,Republican,George W. Bush,Republican
8/1/2008,George W. Bush,Republican,George W. Bush,Republican
9/1/2008,George W. Bush,Republican,George W. Bush,Republican
10/1/2008,George W. Bush,Republican,George W. Bush,Republican
11/1/2008,George W. Bush,Republican,Barack Obama,Democrat
12/1/2008,George W. Bush,Republican,Barack Obama,Democrat
1/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
2/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
3/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
4/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
5/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
6/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
7/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
8/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
9/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
10/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
11/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
12/1/2009,Barack Obama,Democrat,Barack Obama,Democrat
1/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
2/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
3/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
4/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
5/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
6/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
7/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
8/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
9/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
10/1/2010,Barack Obama,Democrat,Barack Obama,Democrat
